Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1778        3    26431    99.8%           24      16657  (28212 26431 26333 26330)
    1919        4    41917    99.8%           24      16825  (43840 41917 41759 41755)
    1759        4    22971    99.8%           24      16917  (24734 22971 22883 22879)
    2666        0     6307   100.0%           24      16944  (8973 6307 6246 6246)
    1801        0    31817   100.0%           24      17069  (33618 31817 31695 31695)
    1896        7    35322    99.6%           24      17211  (37225 35322 35188 35181)
    1812        0    27264   100.0%           24      17322  (29076 27264 27155 27155)
    3315        1     3637   100.0%           24      17336  (6953 3637 3599 3598)
    1846        2    36787    99.9%           24      17481  (38635 36787 36650 36648)
    1813        4    28385    99.8%           24      17597  (30202 28385 28279 28275)
    1733        0    20575   100.0%           24      17678  (22308 20575 20493 20493)
    2644        4     7268    99.8%           24      17709  (9916 7268 7211 7207)
    1776        0    24640   100.0%           24      17804  (26416 24640 24546 24546)
    1934        4    39421    99.8%           24      17963  (41359 39421 39273 39269)
    1805        0    26416   100.0%           24      18070  (28221 26416 26311 26311)
    2629        2     5848    99.9%           24      18095  (8479 5848 5799 5797)
    1768        0    25919   100.0%           24      18197  (27687 25919 25820 25820)
    1919        7    40963    99.6%           24      18360  (42889 40963 40812 40805)
    1746        0    19982   100.0%           24      18440  (21728 19982 19903 19903)
    2669        1    10292   100.0%           24      18482  (12962 10292 10222 10221)
    1712        0    18730   100.0%           24      18554  (20442 18730 18661 18661)
    1949        3    41728    99.8%           24      18721  (43680 41728 41570 41567)
    1824        3    27987    99.8%           24      18833  (29814 27987 27879 27876)
    2653        0     8677   100.0%           24      18869  (11330 8677 8616 8625)
    1649        0    12830   100.0%           24      18919  (14479 12830 12782 12782)
    1949        3    42101    99.8%           24      19085  (44053 42101 41942 41939)
    1780        4    24840    99.8%           24      19185  (26624 24840 24746 24742)
    2745        1    16598   100.0%           24      19254  (19344 16598 16506 16505)
    1617        0     9498   100.0%           24      19291  (11115 9498 9462 9462)
    1924        3    41862    99.8%           24      19457  (43789 41862 41703 41700)
    1774        4    23186    99.8%           24      19552  (24964 23186 23099 23095)
    1931        5    19646    99.7%           25      19631  (21582 19646 19568 19563)
    4156        1     4447   100.0%           25      19649  (8604 4447 4409 4408)
    1813        3    30535    99.8%           25      19769  (32351 30535 30422 30419)
    1914        4    38376    99.8%           25      19924  (40294 38376 38230 38226)
    1753        3    22980    99.8%           25      20014  (24736 22980 22891 22888)
    2607        3     5226    99.9%           25      20036  (7836 5226 5171 5168)
    1803        3    32612    99.8%           25      20163  (34418 32612 32492 32489)
    1909        4    36869    99.8%           25      20313  (38782 36869 36729 36725)
    1918        4    23974    99.8%           25      20410  (25896 23974 23880 23876)
    2415        0     1205   100.0%           25      20416  (3620 1205 1175 1177)
    1765        3    26949    99.8%           25      20522  (28717 26949 26849 26846)
    1900        7    37892    99.6%           25      20674  (39799 37892 37752 37745)
    1830        3    27951    99.8%           25      20785  (29784 27951 27843 27840)
    2599        0     3283   100.0%           25      20800  (5882 3283 3241 3242)
    1783        3    24707    99.8%           25      20896  (26493 24707 24617 24614)
    1945        4    41737    99.8%           25      21063  (43686 41737 41580 41576)
    1798        2    25904    99.9%           25      21167  (27704 25904 25802 25800)
    2618        0     4378   100.0%           25      21186  (6996 4378 4327 4329)
    1683        3    17194    99.8%           25      21253  (18880 17194 17133 17130)
    1915        4    39804    99.8%           25      21410  (41723 39804 39655 39651)
    1814        7    27623    99.6%           25      21528  (29444 27623 27521 27514)
    2670        0    10803   100.0%           25      21573  (13473 10803 10726 10732)
    1654        3    14373    99.8%           25      21629  (16030 14373 14322 14319)
    1962        5    43523    99.7%           25      21801  (45490 43523 43360 43355)
    1798        3    27657    99.8%           25      21914  (29458 27657 27551 27548)
    1935        0    11030   100.0%           25      21959  (12965 11030 10973 10982)
    2308        0     6448   100.0%           25      21984  (8756 6448 6403 6409)
    1901        6    39082    99.7%           25      22138  (40989 39082 38938 38932)
    1803        4    28610    99.8%           25      22255  (30417 28610 28502 28498)
    1783        0    22784   100.0%           25      22345  (24567 22784 22692 22692)
    2593        0     3125   100.0%           25      22357  (5718 3125 3084 3085)
    1823        3    32327    99.8%           25      22484  (34153 32327 32206 32203)
    1900       10    32992    99.5%           25      22618  (34902 32992 32873 32863)
    1914        0    23458   100.0%           25      22712  (25372 23458 23360 23360)
    2480        0     4495   100.0%           25      22731  (6975 4495 4453 4453)
    1743        2    25145    99.9%           25      22827  (26890 25145 25053 25051)
    1905        4    39106    99.8%           25      22985  (41015 39106 38959 38955)
    1784        2    26085    99.9%           25      23088  (27871 26085 25985 25983)
    2709        0     7082   100.0%           25      23117  (9791 7082 7013 7016)
    1703        3    20008    99.8%           25      23194  (21714 20008 19936 19933)
    1932        3    41696    99.8%           25      23362  (43631 41696 41539 41536)
    1820        3    29387    99.8%           25      23480  (31210 29387 29274 29271)
    2620        0     5338   100.0%           25      23504  (7958 5338 5287 5287)
    1795        0    26435   100.0%           25      23608  (28230 26435 26334 26334)
    1901        7    40713    99.6%           25      23770  (42621 40713 40563 40556)
    1748        0    17106   100.0%           25      23840  (18854 17106 17038 17038)
    2683        1    12345   100.0%           25      23890  (15029 12345 12265 12264)
    1635        0    12835   100.0%           25      23938  (14470 12835 12787 12787)
    1936        4    40836    99.8%           25      24101  (42776 40836 40682 40678)
    1822        3    27764    99.8%           25      24223  (29589 27764 27658 27655)
    2704        0    13372   100.0%           25      24277  (16076 13372 13289 13290)
    1631        0    13347   100.0%           25      24328  (14978 13347 13297 13297)
    1918        7    41339    99.6%           25      24491  (43264 41339 41187 41180)
    1806        3    28279    99.8%           25      24619  (30088 28279 28170 28167)
    2693        0    11071   100.0%           25      24664  (13764 11071 10995 10995)
    1686        0    12830   100.0%           25      24713  (14516 12830 12782 12782)
    1938        3    40238    99.8%           25      24871  (42179 40238 40087 40084)
    1833        2    31491    99.9%           25      25005  (33326 31491 31369 31367)
    2700        3    10810    99.9%           25      25050  (13513 10810 10738 10735)
    1689        0    14114   100.0%           25      25105  (15803 14114 14061 14061)
    1982        6    41840    99.7%           25      25271  (43828 41840 41685 41679)
    1715        0    19089   100.0%           25      25372  (20804 19089 19013 19013)
    1866        0    16079   100.0%           25      25436  (17945 16079 16002 16012)
    1610        1     7709    99.9%           26      25466  (9320 7709 7672 7671)
    1914        3    40846    99.8%           26      25625  (42763 40846 40692 40689)
    1795        4    27551    99.8%           26      25736  (29350 27551 27447 27443)
    1770        3    21542    99.8%           26      25822  (23315 21542 21458 21455)
    2607        0     6463   100.0%           26      25845  (9070 6463 6407 6411)
    1964        1    39399    99.9%           26      26001  (41364 39399 39252 39251)
    1809        4    26149    99.8%           26      26109  (27962 26149 26051 26047)
    1734        3    19849    99.8%           26      26189  (21586 19849 19773 19770)
    2614        0     4308   100.0%           26      26208  (6922 4308 4256 4260)
    1774        6    23349    99.7%           26      26299  (25129 23349 23266 23260)
    1936        4    40406    99.8%           26      26461  (42346 40406 40254 40250)
    1770        2    25826    99.9%           26      26562  (27598 25826 25725 25723)
    2642        0     7481   100.0%           26      26594  (10123 7481 7418 7420)
    1760        2    22695    99.9%           26      26680  (24457 22695 22614 22612)
    1939        4    40966    99.8%           26      26847  (42909 40966 40812 40808)
    1717        1    19418    99.9%           26      26922  (21136 19418 19347 19346)
    2699        0    14131   100.0%           26      26981  (16830 14131 14054 14056)
    1596        0     7957   100.0%           26      27012  (9553 7957 7927 7927)
    1928        6    43204    99.7%           26      27181  (45138 43204 43044 43038)
    1813        4    29501    99.8%           26      27302  (31318 29501 29389 29385)
    2725        0    15689   100.0%           26      27368  (18414 15689 15594 15596)
    1623        0    10010   100.0%           26      27407  (11633 10010 9973 9973)
    1932        7    42692    99.6%           26      27575  (44631 42692 42534 42527)
    1711        3    19980    99.8%           26      27669  (21694 19980 19905 19902)
    1871        0    20525   100.0%           26      27751  (22396 20525 20436 20437)
    2460        0     3974   100.0%           26      27767  (6434 3974 3936 3937)
    1834        3    35929    99.8%           26      27908  (37766 35929 35794 35791)
    1871        7    32216    99.6%           26      28040  (34094 32216 32098 32091)
    1902        0    23353   100.0%           26      28133  (25255 23353 23252 23252)
    2456        0     4224   100.0%           26      28152  (6680 4224 4184 4185)
    1850        6    34634    99.7%           26      28287  (36490 34634 34507 34501)
    1836        6    29563    99.7%           26      28409  (31405 29563 29454 29448)
    1767        6    24102    99.7%           26      28503  (25875 24102 24012 24006)
    2606        0     5789   100.0%           26      28527  (8395 5789 5735 5747)
    1707        3    20017    99.8%           26      28605  (21727 20017 19945 19942)
    1910        7    42176    99.6%           26      28772  (44093 42176 42020 42013)
    1827        6    27457    99.7%           26      28885  (29290 27457 27354 27348)
    2673        1     6447   100.0%           26      28913  (9121 6447 6390 6389)
    1721        3    20787    99.8%           26      28994  (22511 20787 20711 20708)
    1942        7    40384    99.6%           26      29154  (42333 40384 40235 40228)
    1793        5    27083    99.7%           26      29266  (28881 27083 26980 26975)
    2643        3     8111    99.9%           26      29299  (10757 8111 8046 8043)
    1727        3    18474    99.8%           26      29370  (20204 18474 18408 18405)
    1976        7    41704    99.6%           26      29537  (43687 41704 41549 41542)
    1767        6    23004    99.7%           26      29643  (24777 23004 22919 22913)
    2670        2    10037    99.9%           26      29685  (12709 10037 9972 9970)
    1626        0    12064   100.0%           26      29732  (13690 12064 12019 12019)
    1958        7    43527    99.6%           26      29904  (45492 43527 43366 43359)
    1794        5    28393    99.7%           26      30033  (30192 28393 28286 28281)
    2693        6     9189    99.8%           26      30072  (11888 9189 9128 9122)
    1625        0    13091   100.0%           26      30122  (14716 13091 13042 13042)
    1912        6    37299    99.7%           26      30272  (39217 37299 37163 37157)
    1805        4    26160    99.8%           26      30380  (27969 26160 26062 26058)
    1864        7    20099    99.6%           26      30459  (21970 20099 20017 20010)
    1842        2     6687    99.9%           26      30485  (8531 6687 6654 6652)
    2439        5    41921    99.8%           27      30649  (44365 41921 41765 41760)
    1831        6    28393    99.7%           27      30763  (30230 28393 28288 28282)
    1741        6    19241    99.7%           27      30841  (20988 19241 19170 19164)
    2571        0     2950   100.0%           27      30853  (5521 2950 2904 2909)
    1846        3    31300    99.8%           27      30976  (33149 31300 31184 31181)
    1869        8    32718    99.6%           27      31110  (34595 32718 32599 32591)
    1808        7    28536    99.6%           27      31222  (30351 28536 28430 28423)
    2572        0     2255   100.0%           27      31232  (4827 2255 2214 2215)
