Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1613        0    10778   100.0%           23      29285  (12391 10778 10738 10738)
    1941        6    43078    99.7%           23      29457  (45025 43078 42917 42911)
    1815        3    30065    99.8%           23      29581  (31883 30065 29949 29946)
    2646        0    12091   100.0%           23      29630  (14737 12091 12012 12013)
    1608        0     8727   100.0%           23      29664  (10335 8727 8694 8694)
    1871        6    42291    99.7%           23      29831  (44168 42291 42134 42128)
    1756        1    24746    99.9%           23      29931  (26503 24746 24650 24649)
    1751        2    20849    99.9%           23      30013  (22602 20849 20771 20769)
    2558        0     2187   100.0%           23      30023  (4745 2187 2143 2145)
    1789        3    29517    99.8%           23      30137  (31309 29517 29407 29404)
    1876        4    37968    99.8%           23      30292  (39848 37968 37824 37820)
    1764        4    23270    99.8%           23      30384  (25038 23270 23182 23178)
    2611        0     5332   100.0%           23      30406  (7943 5332 5287 5294)
    1739        3    25927    99.8%           23      30507  (27669 25927 25831 25828)
    1877        4    37824    99.8%           23      30659  (39705 37824 37682 37678)
    1726        3    20233    99.8%           23      30739  (21962 20233 20156 20153)
    2672        0    12619   100.0%           23      30790  (15291 12619 12534 12539)
    1582        3     9753    99.8%           23      30828  (11338 9753 9720 9717)
    1902        3    42883    99.8%           23      30996  (44788 42883 42720 42717)
    1826        7    29056    99.6%           23      31113  (30889 29056 28949 28942)
    2750        0    15688   100.0%           24      31177  (18438 15688 15593 15595)
    1575        2     7437    99.9%           24      31205  (9014 7437 7415 7413)
    1891        3    39082    99.8%           24      31359  (40976 39082 38935 38932)
    1789        4    30325    99.8%           24      31482  (32118 30325 30210 30206)
    1714        0    18739   100.0%           24      31557  (20453 18739 18663 18664)
    2569        0     3174   100.0%           24      31570  (5743 3174 3132 3133)
    1763        2    28735    99.9%           24      31683  (30500 28735 28628 28626)
    1878        4    35671    99.8%           24      31827  (37553 35671 35537 35533)
    1755        0    25592   100.0%           24      31926  (27347 25592 25491 25491)
    2582        0     4776   100.0%           24      31949  (7358 4776 4719 4722)
    1698        3    20525    99.8%           24      32028  (22226 20525 20452 20449)
    1944        4    43721    99.8%           24      32203  (45669 43721 43556 43552)
    1770        3    26178    99.8%           24      32308  (27951 26178 26079 26076)
    2578        3     5976    99.9%           24      32335  (8557 5976 5923 5920)
    1718        0    25118   100.0%           24      32432  (26836 25118 25026 25027)
    1925        7    39886    99.6%           24      32592  (41818 39886 39738 39731)
    1785        0    27450   100.0%           24      32702  (29235 27450 27341 27341)
    3392        1     4567   100.0%           24      32721  (7960 4567 4519 4518)
    1718        0    22587   100.0%           24      32809  (24305 22587 22502 22502)
    1891        4    38144    99.8%           24      32961  (40039 38144 38001 37997)
    1677        0    21067   100.0%           24      33053  (22744 21067 20984 20984)
    1655        4    13065    99.8%           24      33108  (14724 13065 13016 13012)
    2593        0     5688   100.0%           24      33129  (8281 5688 5641 5648)
    1857        3    35757    99.8%           24      33271  (37617 35757 35622 35619)
    1829        4    33903    99.8%           24      33409  (35736 33903 33775 33771)
    1998        2    18874    99.9%           24      33484  (20874 18874 18791 18789)
    2304        3     7561    99.9%           24      33514  (9868 7561 7511 7508)
    1903        2    36675    99.9%           24      33658  (38580 36675 36538 36536)
    1845        3    36725    99.8%           24      33806  (38573 36725 36586 36583)
    1715        3    18920    99.8%           24      33881  (20638 18920 18847 18844)
    2536        0     1466   100.0%           24      33886  (4002 1466 1431 1432)
    1786        3    28226    99.8%           24      33997  (30015 28226 28121 28118)
