Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1659        2    13834    99.9%          177      49614  (15495 13834 13780 13778)
    2529        0      301   100.0%          177      49616  (2830 301 272 274)
    1753        1    26942    99.9%          177      49721  (28696 26942 26840 26839)
    1836        6    32172    99.7%          177      49851  (34014 32172 32052 32046)
    1706        4    20484    99.8%          177      49937  (22194 20484 20407 20403)
    1688        6    16194    99.6%          177      50001  (17888 16194 16134 16128)
    2595        0     2875   100.0%          177      50010  (5470 2875 2829 2843)
    1837        4    35157    99.8%          177      50150  (36998 35157 35026 35022)
    1669        1    16116    99.9%          177      50218  (17786 16116 16054 16053)
    1689        6    23285    99.6%          177      50309  (24980 23285 23199 23193)
    1671        2    14153    99.9%          177      50367  (15826 14153 14101 14099)
    2583        0     4453   100.0%          178      50387  (7036 4453 4405 4406)
    1674        1    16940    99.9%          178      50453  (18615 16940 16878 16877)
    1836        6    33185    99.7%          178      50584  (35027 33185 33064 33058)
    1718        9    21834    99.5%          178      50671  (23561 21834 21757 21748)
    1681        3    17411    99.8%          178      50745  (19095 17411 17345 17342)
    2650        0     6965   100.0%          178      50774  (9615 6965 6904 6907)
    1588        0     9241   100.0%          178      50809  (10829 9241 9207 9207)
    1901        5    40893    99.7%          178      50972  (42799 40893 40741 40736)
    1660        6    15737    99.6%          178      51036  (17403 15737 15681 15675)
    1779        6    23460    99.7%          178      51130  (25245 23460 23373 23367)
    2602        0     7275   100.0%          178      51161  (9877 7275 7212 7213)
    1660        0    16167   100.0%          178      51223  (17827 16167 16107 16107)
    1842        5    35241    99.7%          178      51365  (37088 35241 35111 35106)
    1672        5    17988    99.7%          178      51436  (19665 17988 17922 17917)
    1749        7    23399    99.6%          178      51528  (25155 23399 23313 23306)
    2560        0     4315   100.0%          178      51547  (6875 4315 4266 4268)
    1612        1    11036    99.9%          178      51590  (12649 11036 10996 10995)
    1933        5    40108    99.7%          178      51748  (42046 40108 39958 39953)
    1661        5    16707    99.7%          178      51818  (18373 16707 16646 16641)
    1734        6    22251    99.7%          178      51905  (23991 22251 22169 22163)
    2596        0     6874   100.0%          178      51934  (9470 6874 6816 6817)
    1638        0    12578   100.0%          178      51981  (14216 12578 12531 12531)
    1858        2    36716    99.9%          178      52128  (38576 36716 36578 36576)
    1788        7    26960    99.6%          178      52235  (28755 26960 26861 26854)
    1656        6    14318    99.6%          178      52292  (15980 14318 14267 14261)
    2591        0     6352   100.0%          178      52320  (8943 6352 6295 6308)
    1684        1    14112    99.9%          178      52375  (15797 14112 14060 14059)
    1891       11    38024    99.4%          178      52526  (39926 38024 37889 37878)
    1663        2    17150    99.9%          178      52596  (18815 17150 17084 17082)
    1732        7    20499    99.6%          178      52677  (22238 20499 20424 20417)
    2611        0     6829   100.0%          178      52706  (9440 6829 6764 6767)
    1677        3    18475    99.8%          178      52777  (20155 18475 18409 18406)
    1912        4    37679    99.8%          178      52930  (39595 37679 37539 37535)
    1674        2    16610    99.9%          178      52995  (18286 16610 16546 16544)
    1723        7    21142    99.6%          178      53079  (22872 21142 21066 21059)
    2554        0     2717   100.0%          178      53092  (5271 2717 2674 2676)
    1696        3    21553    99.8%          178      53175  (23252 21553 21475 21472)
    1854        7    37050    99.6%          178      53323  (38911 37050 36914 36907)
    1680        2    16470    99.9%          178      53390  (18152 16470 16407 16405)
    1697        6    18377    99.6%          178      53467  (20080 18377 18310 18304)
    2572        0     3552   100.0%          178      53483  (6124 3552 3503 3505)
    1789        3    30798    99.8%          178      53603  (32590 30798 30684 30681)
    1729        5    23371    99.7%          178      53701  (25105 23371 23286 23281)
    1703        6    21270    99.6%          178      53784  (22979 21270 21192 21186)
    1722        3    19748    99.8%          178      53863  (21473 19748 19672 19669)
    2540        0     1468   100.0%          178      53870  (4008 1468 1432 1434)
    1827        3    31055    99.8%          178      53990  (32885 31055 30940 30937)
    1794        6    25947    99.7%          178      54098  (27747 25947 25853 25847)
    1713        4    23913    99.8%          178      54194  (25630 23913 23822 23818)
    1672        3    14617    99.8%          178      54252  (16292 14617 14561 14558)
    2601        0     5191   100.0%          178      54271  (7792 5191 5134 5137)
    1866       10    37162    99.5%          178      54418  (39038 37162 37030 37020)
    1697        2    17667    99.9%          178      54492  (19366 17667 17600 17598)
    1718        6    22358    99.7%          178      54581  (24082 22358 22276 22270)
    1681        1    13838    99.9%          178      54638  (15520 13838 13783 13782)
    2536        0     1845   100.0%          179      54645  (4381 1845 1806 1809)
    1843        3    34395    99.8%          179      54780  (36241 34395 34267 34264)
    1754        7    25823    99.6%          179      54886  (27584 25823 25729 25722)
    1608        3    13936    99.8%          179      54945  (15547 13936 13884 13881)
    1726        4    19010    99.8%          179      55024  (20740 19010 18938 18934)
    2535        0     1843   100.0%          179      55032  (4378 1843 1806 1819)
    1832        4    31307    99.8%          179      55155  (33143 31307 31193 31189)
    1766        5    23683    99.7%          179      55248  (25454 23683 23597 23592)
    1741        6    21058    99.7%          179      55332  (22805 21058 20981 20975)
    1725        3    19851    99.8%          179      55411  (21579 19851 19773 19770)
    2523        0      563   100.0%          179      55413  (3086 563 527 530)
    1750        3    26255    99.8%          179      55516  (28008 26255 26160 26157)
    1782        5    26640    99.7%          179      55625  (28427 26640 26543 26538)
    1770        5    27032    99.7%          179      55733  (28807 27032 26930 26925)
    1698        6    15685    99.6%          179      55797  (17389 15685 15627 15621)
    2574        0     3382   100.0%          179      55809  (5956 3382 3339 3344)
    1882        4    36178    99.8%          179      55951  (38064 36178 36043 36039)
    1756        7    26530    99.6%          179      56062  (28293 26530 26433 26426)
    1711        3    19851    99.8%          179      56140  (21565 19851 19775 19772)
    2691        2    10723    99.9%          179      56183  (13416 10723 10645 10643)
    1601        0    11031   100.0%          179      56226  (12632 11031 10990 10990)
    1906        8    40598    99.6%          179      56386  (42512 40598 40450 40442)
    1665        5    16900    99.7%          179      56455  (18570 16900 16838 16833)
    1731        3    23393    99.8%          179      56549  (25127 23393 23303 23300)
    2580        3     4828    99.9%          179      56569  (7411 4828 4780 4777)
    1698        0    21304   100.0%          179      56650  (23002 21304 21224 21224)
    1859        5    32470    99.7%          179      56783  (34334 32470 32351 32346)
    1726        5    22548    99.7%          179      56871  (24279 22548 22464 22459)
    1698        6    16842    99.6%          179      56937  (18546 16842 16781 16775)
    2571        0     4573   100.0%          179      56956  (7144 4573 4518 4524)
    1637        0    14376   100.0%          179      57012  (16013 14376 14322 14322)
    1893        5    37296    99.7%          179      57158  (39194 37296 37158 37153)
    1659        5    16707    99.7%          179      57228  (18371 16707 16646 16641)
    1731        7    22026    99.6%          179      57314  (23764 22026 21946 21939)
    2883        0     6198   100.0%          179      57342  (9081 6198 6138 6140)
    2204        0    16170   100.0%          179      57405  (18374 16170 16110 16110)
    1869        5    39545    99.7%          179      57562  (41419 39545 39398 39393)
    1660        5    15739    99.7%          179      57625  (17404 15739 15682 15677)
    1711        7    18520    99.6%          179      57698  (20238 18520 18453 18446)
    2616        0     7393   100.0%          179      57729  (10009 7393 7332 7343)
    1657        1    16681    99.9%          179      57792  (18339 16681 16619 16618)
    1853        9    36774    99.5%          179      57941  (38636 36774 36642 36633)
    1653        1    17843    99.9%          179      58013  (19497 17843 17774 17773)
    1747        6    20031    99.7%          179      58098  (21784 20031 19957 19951)
    2618        0     4568   100.0%          179      58116  (7186 4568 4518 4521)
    1725        6    23863    99.7%          179      58208  (25594 23863 23779 23773)
    1821        5    33122    99.7%          179      58342  (34948 33122 33000 32995)
    1694        3    18429    99.8%          179      58414  (20126 18429 18359 18356)
    1755        6    21884    99.7%          179      58501  (23645 21884 21802 21796)
    2560        0     2613   100.0%          179      58512  (5173 2613 2573 2577)
    1780        4    31230    99.8%          179      58635  (33014 31230 31115 31111)
    1740        5    21851    99.7%          179      58721  (23596 21851 21772 21767)
    1736        4    24730    99.8%          179      58821  (26470 24730 24637 24633)
    1699        4    16886    99.8%          179      58888  (18589 16886 16820 16816)
    2522        0     1593   100.0%          179      58894  (4115 1593 1550 1553)
    1807        3    31409    99.8%          179      59016  (33219 31409 31294 31291)
    1825        7    32424    99.6%          180      59149  (34256 32424 32305 32298)
    1747        6    21904    99.7%          180      59237  (23657 21904 21823 21817)
